,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth,Utils,Other
NoDur,1.0,0.676,0.844,0.603,0.717,0.677,0.847,0.788,0.705,0.834
Durbl,0.676,1.0,0.814,0.554,0.745,0.578,0.764,0.585,0.559,0.764
Manuf,0.844,0.814,1.0,0.705,0.849,0.677,0.841,0.753,0.691,0.904
Enrgy,0.603,0.554,0.705,1.0,0.57,0.519,0.561,0.536,0.58,0.676
HiTec,0.717,0.745,0.849,0.57,1.0,0.663,0.796,0.708,0.604,0.793
Telcm,0.677,0.578,0.677,0.519,0.663,1.0,0.667,0.591,0.617,0.7
Shops,0.847,0.764,0.841,0.561,0.796,0.667,1.0,0.735,0.642,0.824
Hlth,0.788,0.585,0.753,0.536,0.708,0.591,0.735,1.0,0.61,0.734
Utils,0.705,0.559,0.691,0.58,0.604,0.617,0.642,0.61,1.0,0.711
Other,0.834,0.764,0.904,0.676,0.793,0.7,0.824,0.734,0.711,1.0
