,Mean (%/mo),SD (%/mo),Mean (%/yr),SD (%/yr),Sharpe (ann.),MVP weight,Tangency weight
NoDur,0.9402,4.5595,11.2825,15.7947,0.5091,0.7188,0.6645
Durbl,1.1822,8.2136,14.1866,28.4528,0.3847,-0.0142,0.134
Manuf,1.0385,6.2008,12.4621,21.4801,0.4292,-0.1905,-0.2242
Enrgy,1.0292,6.4095,12.351,22.2033,0.4103,0.1527,0.2808
HiTec,1.1699,7.1424,14.0383,24.742,0.4364,-0.0621,0.1865
Telcm,0.8124,4.6606,9.7491,16.1449,0.4031,0.4889,0.1525
Shops,1.0342,5.7802,12.4107,20.0232,0.4579,-0.0137,0.0725
Hlth,1.068,5.5005,12.8158,19.0544,0.5025,0.1174,0.353
Utils,0.8874,5.4351,10.6493,18.8278,0.3934,0.1293,0.0721
Other,0.9237,6.3555,11.085,22.0162,0.3562,-0.3267,-0.6916
