,Full sample Sigma,Full sample Sigma,Diagonal (cov = 0),Diagonal (cov = 0),Identity,Identity
,MVP,Tangency,MVP,Tangency,MVP,Tangency
NoDur,0.7188,0.6645,0.1601,0.1512,0.1,0.0907
Durbl,-0.0142,0.134,0.0493,0.0634,0.1,0.1235
Manuf,-0.1905,-0.2242,0.0865,0.0938,0.1,0.1041
Enrgy,0.1527,0.2808,0.081,0.0867,0.1,0.1028
HiTec,-0.0621,0.1865,0.0652,0.0828,0.1,0.1218
Telcm,0.4889,0.1525,0.1532,0.1171,0.1,0.0734
Shops,-0.0137,0.0725,0.0996,0.1073,0.1,0.1035
Hlth,0.1174,0.353,0.11,0.1237,0.1,0.108
Utils,0.1293,0.0721,0.1127,0.098,0.1,0.0836
Other,-0.3267,-0.6916,0.0824,0.0759,0.1,0.0885
